Subject ,Heart_Rate(BPM) 
video1,85.413
video2,76.170
video3,72.883
video4,70.209
video5,77.912
video6,75.958
video7,70.209
video8,75.958
video9,80.520
video10,80.657
video11,80.362
video12,66.474
video13,66.474
video14,81.455
video15,83.801
video16,84.633
video17,71.481
video18,77.636
video19,83.563
video20,78.072
video21,81.455
video22,72.883
video23,83.814
video24,65.964
video25,85.533
video26,68.922
video27,79.492
video28,78.443
video29,75.048
video30,72.290
video31,79.349
video32,66.479
video33,73.286
video34,83.776
video35,81.037
video36,77.728
video37,67.486
video38,71.069
video39,78.072
video40,79.705
video41,77.023
video42,76.500
video43,65.722
video44,72.389
